"objeto","tipo","operacion","archivo","linea","estado","evidencia"
"ecommerce_orders","tabla","INSERT INTO","factory/Mapper.php","7643","detectado","INSERT INTO ecommerce_orders"
"ecommerce_payment_methods","tabla","FROM","factory/Mapper.php","7933","detectado","FROM ecommerce_payment_methods"
"ecommerce_payment_methods","tabla","INSERT INTO","factory/Mapper.php","7907","detectado","INSERT INTO ecommerce_payment_methods"
"ecommerce_payments","tabla","FROM","factory/Mapper.php","7890","detectado","FROM ecommerce_payments"
"ecommerce_payments","tabla","INSERT INTO","factory/Mapper.php","7852","detectado","INSERT INTO ecommerce_payments"
"ecommerce_servicios_andreani","tabla","FROM","factory/Mapper.php","7979","detectado","FROM ecommerce_servicios_andreani"
"ecommerce_servicios_andreani","tabla","INSERT INTO","factory/Mapper.php","7950","detectado","INSERT INTO ecommerce_servicios_andreani"
"ecommerce_usergroups","tabla","FROM","factory/Mapper.php","8025","detectado","FROM ecommerce_usergroups"
"ecommerce_usergroups","tabla","INSERT INTO","factory/Mapper.php","7996","detectado","INSERT INTO ecommerce_usergroups"
"ejercicios_contables","tabla","FROM","factory/Mapper.php","8116","detectado","FROM ejercicios_contables"
"ejercicios_contables","tabla","INSERT INTO","factory/Mapper.php","8084","detectado","INSERT INTO ejercicios_contables"
"filas_asientos_contables","tabla","DELETE FROM","factory/Mapper.php","4525","detectado","DELETE FROM filas_asientos_contables"
"filas_asientos_contables","tabla","INSERT INTO","factory/Mapper.php","8616","detectado","INSERT INTO filas_asientos_contables"
"Forecast_detalle","tabla","DELETE FROM","factory/Mapper.php","8680","detectado","DELETE FROM Forecast_detalle"
"Forecast_detalle","tabla","INSERT INTO","factory/Mapper.php","8713","detectado","INSERT INTO Forecast_detalle"
"Forecast_encabezado","tabla","INSERT INTO","factory/Mapper.php","8662","detectado","INSERT INTO Forecast_encabezado"
"Formas_pago","tabla","INSERT INTO","factory/Mapper.php","8750","detectado","INSERT INTO Formas_pago"
"funcionalidades_por_rol","tabla","DELETE FROM","factory/Mapper.php","8848","detectado","DELETE FROM funcionalidades_por_rol"
"funcionalidades_por_rol","tabla","DELETE FROM","factory/Mapper.php","13149","detectado","DELETE FROM funcionalidades_por_rol"
"funcionalidades_por_rol","tabla","INSERT INTO","factory/Mapper.php","8839","detectado","INSERT INTO funcionalidades_por_rol"
"garantias_c","tabla","INSERT INTO","factory/Mapper.php","8922","detectado","INSERT INTO garantias_c"
"garantias_d","tabla","FROM","factory/Mapper.php","9007","detectado","FROM garantias_d"
"garantias_d","tabla","INSERT INTO","factory/Mapper.php","8977","detectado","INSERT INTO garantias_d"
